condition,MEblue,MEbrown,MEgrey,MEturquoise
cont,0.42491614,-0.224349415,-0.145469246,-0.211032582
cont.1,0.412179598,-0.2188485,-0.215245432,-0.211142638
cont.2,0.094323247,-0.201088436,-0.249066339,-0.153202197
lowN,0.186883415,-0.166925754,-0.124266231,-0.179836765
lowN.1,0.137666755,-0.174486769,-0.061154949,-0.173260562
lowN.2,0.155885643,-0.178040755,-0.0956433,-0.167433689
salt,-0.39327685,-0.05691,-0.32101105,0.604961311
salt.1,-0.407870528,-0.076082355,-0.135567558,0.3137635
salt.2,-0.362338228,-0.041053307,0.752593922,0.524954495
lowFE,-0.012767513,0.377751596,0.311698238,-0.152116612
lowFE.1,0.084990152,0.199761163,0.049147124,-0.183663884
lowFE.2,-0.320591831,0.760272534,0.233984822,-0.011990377